"date","station","land_use","method","lengths"
"2009-04-01","DE-Hai","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2009-04-11","DE-Hai","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2009-06-30","DE-Hai","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2009-08-24","DE-Hai","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-01-01","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",40
"2004-07-29","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",60
"2004-10-02","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",40
"2006-06-30","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",40
"2006-09-08","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",40
"2007-04-11","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",35
"2010-06-15","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",40
"2011-02-20","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",30
"2011-10-18","DE-Hai","Deciduous broadleaf forests","Ford and Labosier",40
"2001-04-30","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",28
"2002-08-13","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",28
"2003-03-05","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",28
"2003-05-21","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",28
"2006-05-28","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",28
"2006-08-27","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",35
"2006-10-08","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",42
"2008-04-15","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",28
"2011-10-15","DE-Hai","Deciduous broadleaf forests","Pendergrass et al.",99
"2000-04-10","DE-Hai","Deciduous broadleaf forests","Noguera et al.",30
"2000-11-02","DE-Hai","Deciduous broadleaf forests","Noguera et al.",45
"2001-05-02","DE-Hai","Deciduous broadleaf forests","Noguera et al.",46
"2003-01-02","DE-Hai","Deciduous broadleaf forests","Noguera et al.",39
"2003-06-02","DE-Hai","Deciduous broadleaf forests","Noguera et al.",107
"2005-05-17","DE-Hai","Deciduous broadleaf forests","Noguera et al.",31
"2006-05-23","DE-Hai","Deciduous broadleaf forests","Noguera et al.",61
"2006-08-23","DE-Hai","Deciduous broadleaf forests","Noguera et al.",55
"2007-03-17","DE-Hai","Deciduous broadleaf forests","Noguera et al.",46
"2007-09-23","DE-Hai","Deciduous broadleaf forests","Noguera et al.",30
"2008-04-10","DE-Hai","Deciduous broadleaf forests","Noguera et al.",68
"2011-01-10","DE-Hai","Deciduous broadleaf forests","Noguera et al.",97
"2012-01-17","DE-Hai","Deciduous broadleaf forests","Noguera et al.",31
"2001-09-13","DE-Hai","Deciduous broadleaf forests","Christian et al.",30
"2002-01-16","DE-Hai","Deciduous broadleaf forests","Christian et al.",30
"2006-11-17","DE-Hai","Deciduous broadleaf forests","Christian et al.",30
"2009-11-02","DE-Hai","Deciduous broadleaf forests","Christian et al.",40
"2009-12-22","DE-Hai","Deciduous broadleaf forests","Christian et al.",35
"2012-01-01","DE-Hai","Deciduous broadleaf forests","Christian et al.",50
"2001-07-20","DE-Hai","Deciduous broadleaf forests","Osman et al.",45
"2003-01-01","DE-Hai","Deciduous broadleaf forests","Osman et al.",395
"2004-02-15","DE-Hai","Deciduous broadleaf forests","Osman et al.",60
"2004-05-15","DE-Hai","Deciduous broadleaf forests","Osman et al.",40
"2004-07-24","DE-Hai","Deciduous broadleaf forests","Osman et al.",35
"2004-09-02","DE-Hai","Deciduous broadleaf forests","Osman et al.",20
"2004-11-26","DE-Hai","Deciduous broadleaf forests","Osman et al.",35
"2006-06-05","DE-Hai","Deciduous broadleaf forests","Osman et al.",60
"2006-09-03","DE-Hai","Deciduous broadleaf forests","Osman et al.",60
"2007-03-27","DE-Hai","Deciduous broadleaf forests","Osman et al.",45
"2008-05-05","DE-Hai","Deciduous broadleaf forests","Osman et al.",40
"2008-06-19","DE-Hai","Deciduous broadleaf forests","Osman et al.",25
"2008-12-26","DE-Hai","Deciduous broadleaf forests","Osman et al.",41
"2010-06-05","DE-Hai","Deciduous broadleaf forests","Osman et al.",60
"2011-02-20","DE-Hai","Deciduous broadleaf forests","Osman et al.",20
"2011-03-27","DE-Hai","Deciduous broadleaf forests","Osman et al.",95
"2011-07-15","DE-Hai","Deciduous broadleaf forests","Osman et al.",50
"2011-10-23","DE-Hai","Deciduous broadleaf forests","Osman et al.",125
"2012-07-24","DE-Hai","Deciduous broadleaf forests","Osman et al.",65
"2000-04-22","DE-Hai","Deciduous broadleaf forests","Alencar et al.",28
"2001-05-07","DE-Hai","Deciduous broadleaf forests","Alencar et al.",28
"2002-08-20","DE-Hai","Deciduous broadleaf forests","Alencar et al.",28
"2003-06-18","DE-Hai","Deciduous broadleaf forests","Alencar et al.",28
"2004-09-30","DE-Hai","Deciduous broadleaf forests","Alencar et al.",28
"2006-06-04","DE-Hai","Deciduous broadleaf forests","Alencar et al.",56
"2006-09-03","DE-Hai","Deciduous broadleaf forests","Alencar et al.",35
"2007-03-26","DE-Hai","Deciduous broadleaf forests","Alencar et al.",42
"2008-04-15","DE-Hai","Deciduous broadleaf forests","Alencar et al.",63
"2004-07-14","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",70
"2004-09-27","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",25
"2006-06-25","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",30
"2006-08-29","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",35
"2007-04-06","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",30
"2010-06-10","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",40
"2011-10-13","DE-Hai","Deciduous broadleaf forests","Mod. Ford and Labosier",30
"2000-04-01","DE-Hai","Deciduous broadleaf forests","Multi-criteria",84
"2003-04-09","DE-Hai","Deciduous broadleaf forests","Multi-criteria",28
"2003-05-21","DE-Hai","Deciduous broadleaf forests","Multi-criteria",28
"2006-06-11","DE-Hai","Deciduous broadleaf forests","Multi-criteria",49
"2006-09-03","DE-Hai","Deciduous broadleaf forests","Multi-criteria",28
"2009-03-19","DE-Hai","Deciduous broadleaf forests","Multi-criteria",42
"2009-08-06","DE-Hai","Deciduous broadleaf forests","Multi-criteria",28
"2010-06-04","DE-Hai","Deciduous broadleaf forests","Multi-criteria",42
"2004-08-03","DE-Kli","Croplands","Mo and Lettenmeier",10
"2005-05-26","DE-Kli","Croplands","Mo and Lettenmeier",5
"2005-08-29","DE-Kli","Croplands","Mo and Lettenmeier",5
"2005-09-23","DE-Kli","Croplands","Mo and Lettenmeier",5
"2005-10-08","DE-Kli","Croplands","Mo and Lettenmeier",5
"2006-07-05","DE-Kli","Croplands","Mo and Lettenmeier",10
"2006-07-20","DE-Kli","Croplands","Mo and Lettenmeier",5
"2006-09-13","DE-Kli","Croplands","Mo and Lettenmeier",10
"2006-10-23","DE-Kli","Croplands","Mo and Lettenmeier",5
"2006-11-17","DE-Kli","Croplands","Mo and Lettenmeier",10
"2006-12-02","DE-Kli","Croplands","Mo and Lettenmeier",5
"2006-12-12","DE-Kli","Croplands","Mo and Lettenmeier",5
"2007-01-11","DE-Kli","Croplands","Mo and Lettenmeier",5
"2007-07-15","DE-Kli","Croplands","Mo and Lettenmeier",5
"2008-05-10","DE-Kli","Croplands","Mo and Lettenmeier",5
"2008-05-30","DE-Kli","Croplands","Mo and Lettenmeier",5
"2008-06-29","DE-Kli","Croplands","Mo and Lettenmeier",5
"2008-07-29","DE-Kli","Croplands","Mo and Lettenmeier",5
"2008-11-06","DE-Kli","Croplands","Mo and Lettenmeier",5
"2009-04-11","DE-Kli","Croplands","Mo and Lettenmeier",5
"2009-09-18","DE-Kli","Croplands","Mo and Lettenmeier",5
"2010-03-22","DE-Kli","Croplands","Mo and Lettenmeier",5
"2010-06-30","DE-Kli","Croplands","Mo and Lettenmeier",5
"2010-07-10","DE-Kli","Croplands","Mo and Lettenmeier",5
"2011-04-21","DE-Kli","Croplands","Mo and Lettenmeier",5
"2011-09-28","DE-Kli","Croplands","Mo and Lettenmeier",10
"2012-03-16","DE-Kli","Croplands","Mo and Lettenmeier",10
"2012-04-25","DE-Kli","Croplands","Mo and Lettenmeier",5
"2013-06-15","DE-Kli","Croplands","Mo and Lettenmeier",5
"2013-07-30","DE-Kli","Croplands","Mo and Lettenmeier",5
"2013-08-14","DE-Kli","Croplands","Mo and Lettenmeier",5
"2013-10-18","DE-Kli","Croplands","Mo and Lettenmeier",10
"2013-11-07","DE-Kli","Croplands","Mo and Lettenmeier",5
"2013-12-17","DE-Kli","Croplands","Mo and Lettenmeier",15
"2014-01-06","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-03-07","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-03-17","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-04-01","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-06-05","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-09-28","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-10-08","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-11-02","DE-Kli","Croplands","Mo and Lettenmeier",5
"2014-11-12","DE-Kli","Croplands","Mo and Lettenmeier",5
"2005-12-07","DE-Kli","Croplands","Ford and Labosier",30
"2006-07-05","DE-Kli","Croplands","Ford and Labosier",40
"2006-10-18","DE-Kli","Croplands","Ford and Labosier",40
"2007-12-17","DE-Kli","Croplands","Ford and Labosier",30
"2008-12-26","DE-Kli","Croplands","Ford and Labosier",41
"2009-04-06","DE-Kli","Croplands","Ford and Labosier",40
"2010-06-20","DE-Kli","Croplands","Ford and Labosier",40
"2011-05-06","DE-Kli","Croplands","Ford and Labosier",40
"2011-11-02","DE-Kli","Croplands","Ford and Labosier",40
"2012-01-26","DE-Kli","Croplands","Ford and Labosier",35
"2012-07-24","DE-Kli","Croplands","Ford and Labosier",40
"2013-03-12","DE-Kli","Croplands","Ford and Labosier",30
"2013-08-14","DE-Kli","Croplands","Ford and Labosier",40
"2014-05-31","DE-Kli","Croplands","Ford and Labosier",40
"2006-08-27","DE-Kli","Croplands","Pendergrass et al.",35
"2006-10-08","DE-Kli","Croplands","Pendergrass et al.",70
"2008-09-23","DE-Kli","Croplands","Pendergrass et al.",28
"2013-11-26","DE-Kli","Croplands","Pendergrass et al.",50
"2014-09-17","DE-Kli","Croplands","Pendergrass et al.",35
"2004-07-17","DE-Kli","Croplands","Noguera et al.",62
"2004-11-17","DE-Kli","Croplands","Noguera et al.",30
"2005-10-02","DE-Kli","Croplands","Noguera et al.",39
"2006-06-17","DE-Kli","Croplands","Noguera et al.",36
"2006-08-23","DE-Kli","Croplands","Noguera et al.",31
"2006-11-10","DE-Kli","Croplands","Noguera et al.",30
"2007-03-10","DE-Kli","Croplands","Noguera et al.",53
"2008-04-23","DE-Kli","Croplands","Noguera et al.",78
"2009-08-17","DE-Kli","Croplands","Noguera et al.",46
"2010-06-10","DE-Kli","Croplands","Noguera et al.",30
"2010-09-23","DE-Kli","Croplands","Noguera et al.",30
"2012-02-23","DE-Kli","Croplands","Noguera et al.",39
"2012-09-10","DE-Kli","Croplands","Noguera et al.",37
"2013-06-23","DE-Kli","Croplands","Noguera et al.",40
"2014-05-23","DE-Kli","Croplands","Noguera et al.",40
"2004-07-04","DE-Kli","Croplands","Christian et al.",35
"2005-02-10","DE-Kli","Croplands","Christian et al.",35
"2006-01-26","DE-Kli","Croplands","Christian et al.",45
"2006-06-25","DE-Kli","Croplands","Christian et al.",55
"2006-10-03","DE-Kli","Croplands","Christian et al.",45
"2007-03-12","DE-Kli","Croplands","Christian et al.",55
"2008-04-05","DE-Kli","Croplands","Christian et al.",40
"2009-06-10","DE-Kli","Croplands","Christian et al.",40
"2010-03-27","DE-Kli","Croplands","Christian et al.",70
"2010-11-12","DE-Kli","Croplands","Christian et al.",35
"2011-01-01","DE-Kli","Croplands","Christian et al.",30
"2012-04-10","DE-Kli","Croplands","Christian et al.",50
"2012-07-24","DE-Kli","Croplands","Christian et al.",35
"2012-09-07","DE-Kli","Croplands","Christian et al.",35
"2012-10-27","DE-Kli","Croplands","Christian et al.",40
"2013-02-05","DE-Kli","Croplands","Christian et al.",30
"2014-06-05","DE-Kli","Croplands","Christian et al.",30
"2014-08-04","DE-Kli","Croplands","Christian et al.",30
"2005-10-08","DE-Kli","Croplands","Osman et al.",35
"2005-12-27","DE-Kli","Croplands","Osman et al.",90
"2006-07-05","DE-Kli","Croplands","Osman et al.",55
"2006-10-13","DE-Kli","Croplands","Osman et al.",75
"2007-03-27","DE-Kli","Croplands","Osman et al.",45
"2007-12-12","DE-Kli","Croplands","Osman et al.",25
"2008-05-05","DE-Kli","Croplands","Osman et al.",45
"2008-12-26","DE-Kli","Croplands","Osman et al.",26
"2009-03-27","DE-Kli","Croplands","Osman et al.",60
"2010-06-05","DE-Kli","Croplands","Osman et al.",40
"2011-01-16","DE-Kli","Croplands","Osman et al.",50
"2011-04-21","DE-Kli","Croplands","Osman et al.",75
"2011-10-23","DE-Kli","Croplands","Osman et al.",45
"2012-01-26","DE-Kli","Croplands","Osman et al.",30
"2012-03-11","DE-Kli","Croplands","Osman et al.",25
"2012-07-19","DE-Kli","Croplands","Osman et al.",80
"2013-03-12","DE-Kli","Croplands","Osman et al.",25
"2013-07-05","DE-Kli","Croplands","Osman et al.",25
"2004-07-22","DE-Kli","Croplands","Alencar et al.",56
"2005-09-17","DE-Kli","Croplands","Alencar et al.",28
"2006-06-25","DE-Kli","Croplands","Alencar et al.",98
"2007-03-19","DE-Kli","Croplands","Alencar et al.",42
"2008-05-06","DE-Kli","Croplands","Alencar et al.",49
"2009-04-02","DE-Kli","Croplands","Alencar et al.",28
"2009-08-27","DE-Kli","Croplands","Alencar et al.",28
"2010-06-18","DE-Kli","Croplands","Alencar et al.",28
"2010-10-01","DE-Kli","Croplands","Alencar et al.",28
"2011-05-21","DE-Kli","Croplands","Alencar et al.",28
"2011-08-20","DE-Kli","Croplands","Alencar et al.",49
"2012-03-04","DE-Kli","Croplands","Alencar et al.",28
"2012-09-16","DE-Kli","Croplands","Alencar et al.",35
"2013-07-02","DE-Kli","Croplands","Alencar et al.",35
"2014-05-28","DE-Kli","Croplands","Alencar et al.",42
"2006-06-30","DE-Kli","Croplands","Mod. Ford and Labosier",25
"2006-10-08","DE-Kli","Croplands","Mod. Ford and Labosier",35
"2009-03-22","DE-Kli","Croplands","Mod. Ford and Labosier",35
"2010-06-10","DE-Kli","Croplands","Mod. Ford and Labosier",30
"2011-04-26","DE-Kli","Croplands","Mod. Ford and Labosier",35
"2012-07-14","DE-Kli","Croplands","Mod. Ford and Labosier",35
"2013-08-09","DE-Kli","Croplands","Mod. Ford and Labosier",40
"2014-05-26","DE-Kli","Croplands","Mod. Ford and Labosier",40
"2006-06-11","DE-Kli","Croplands","Multi-criteria",49
"2006-09-03","DE-Kli","Croplands","Multi-criteria",28
"2009-03-19","DE-Kli","Croplands","Multi-criteria",42
"2009-08-06","DE-Kli","Croplands","Multi-criteria",28
"2010-06-04","DE-Kli","Croplands","Multi-criteria",42
"2013-07-02","DE-Kli","Croplands","Multi-criteria",35
"2014-02-12","DE-Kli","Croplands","Multi-criteria",28
"2002-01-31","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2002-05-16","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2002-08-14","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-03-27","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-04-21","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-05-31","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-07-15","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2003-07-30","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",15
"2003-09-18","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-11-22","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2004-04-15","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2004-08-03","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2004-09-02","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2004-10-02","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2004-10-22","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-04-01","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-05-01","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-05-26","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-06-20","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-07-10","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-08-29","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",15
"2005-09-23","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2005-10-08","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2005-10-28","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",15
"2006-05-06","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2006-06-10","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2006-07-05","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2006-07-15","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2006-09-13","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2006-09-23","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2006-10-08","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2006-10-18","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2006-11-27","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2006-12-07","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2010-03-22","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2010-06-25","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2011-02-05","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2011-04-06","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2011-04-16","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2011-05-06","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2011-09-23","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2011-10-28","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",10
"2012-03-01","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-03-16","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-04-25","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-05-20","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-08-18","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-09-07","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-10-17","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2012-12-16","DE-Lnf","Deciduous broadleaf forests","Mo and Lettenmeier",5
"2003-05-26","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",35
"2003-09-18","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",65
"2004-02-15","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",30
"2005-06-10","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2005-08-24","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2005-10-08","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2006-02-20","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2006-04-21","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",35
"2006-06-05","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",55
"2006-08-09","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",35
"2007-12-17","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",35
"2010-06-15","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2011-04-16","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2011-07-25","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2011-10-28","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",40
"2012-01-26","DE-Lnf","Deciduous broadleaf forests","Ford and Labosier",35
"2006-06-04","DE-Lnf","Deciduous broadleaf forests","Pendergrass et al.",35
"2009-11-05","DE-Lnf","Deciduous broadleaf forests","Pendergrass et al.",35
"2005-08-10","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",38
"2006-06-02","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",30
"2006-08-23","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",55
"2010-05-23","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",61
"2011-10-23","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",40
"2012-01-17","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",37
"2012-07-23","DE-Lnf","Deciduous broadleaf forests","Noguera et al.",56
"2006-12-02","DE-Lnf","Deciduous broadleaf forests","Christian et al.",40
"2009-05-01","DE-Lnf","Deciduous broadleaf forests","Christian et al.",35
"2010-12-07","DE-Lnf","Deciduous broadleaf forests","Christian et al.",40
"2011-11-07","DE-Lnf","Deciduous broadleaf forests","Christian et al.",35
"2003-06-15","DE-Lnf","Deciduous broadleaf forests","Osman et al.",90
"2004-04-15","DE-Lnf","Deciduous broadleaf forests","Osman et al.",20
"2005-08-19","DE-Lnf","Deciduous broadleaf forests","Osman et al.",30
"2006-04-26","DE-Lnf","Deciduous broadleaf forests","Osman et al.",25
"2006-06-05","DE-Lnf","Deciduous broadleaf forests","Osman et al.",50
"2006-09-03","DE-Lnf","Deciduous broadleaf forests","Osman et al.",60
"2010-05-21","DE-Lnf","Deciduous broadleaf forests","Osman et al.",85
"2011-03-22","DE-Lnf","Deciduous broadleaf forests","Osman et al.",95
"2011-07-10","DE-Lnf","Deciduous broadleaf forests","Osman et al.",60
"2011-09-18","DE-Lnf","Deciduous broadleaf forests","Osman et al.",20
"2011-10-23","DE-Lnf","Deciduous broadleaf forests","Osman et al.",45
"2012-01-26","DE-Lnf","Deciduous broadleaf forests","Osman et al.",30
"2012-05-10","DE-Lnf","Deciduous broadleaf forests","Osman et al.",20
"2006-06-04","DE-Lnf","Deciduous broadleaf forests","Alencar et al.",56
"2006-09-03","DE-Lnf","Deciduous broadleaf forests","Alencar et al.",49
"2010-05-28","DE-Lnf","Deciduous broadleaf forests","Alencar et al.",56
"2012-07-29","DE-Lnf","Deciduous broadleaf forests","Alencar et al.",49
"2003-05-21","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",30
"2003-09-13","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",50
"2005-06-05","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",35
"2005-08-09","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",35
"2005-10-03","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",25
"2006-04-16","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",95
"2006-08-04","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",30
"2010-06-10","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",35
"2011-04-01","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",40
"2011-07-20","DE-Lnf","Deciduous broadleaf forests","Mod. Ford and Labosier",25
"2003-04-09","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",28
"2003-05-21","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",28
"2006-06-11","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",49
"2006-09-03","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",28
"2009-03-19","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",42
"2009-08-06","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",28
"2010-06-04","DE-Lnf","Deciduous broadleaf forests","Multi-criteria",42
"1997-03-02","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",10
"1997-08-09","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1997-11-07","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1997-12-22","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1998-01-11","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1998-03-27","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1998-05-06","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",10
"1998-12-17","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1999-11-27","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"1999-12-07","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2000-04-20","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",25
"2000-06-09","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2000-06-19","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2000-10-12","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2000-11-26","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",15
"2001-02-05","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2001-08-14","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2001-08-24","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2001-10-08","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",10
"2002-01-21","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2002-01-31","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2002-07-30","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2002-08-24","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2002-11-12","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2003-05-31","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",15
"2003-09-18","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2003-11-17","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2003-12-17","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2004-03-16","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2004-08-03","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",10
"2004-09-02","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2004-10-02","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2005-01-06","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2005-03-22","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2005-05-26","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2005-06-20","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
"2005-08-29","DE-Tha","Evergreen needleleaf forests","Mo and Lettenmeier",5
